,DateTime,co2(ppm),humidity(%RH),barometric_pressure(hPa),Temperature [°C],hour,day,month,year
76,2023-06-30 01:31:45.817,547,88.5,1009.8,19.8,1,30,6,2023
77,2023-06-30 01:41:47.495,549,88.0,1009.7,19.8,1,30,6,2023
78,2023-06-30 01:51:47.473,585,89.0,1009.7,19.6,1,30,6,2023
79,2023-06-30 02:01:45.720,567,89.0,1009.5,19.7,2,30,6,2023
80,2023-06-30 02:11:45.700,545,89.0,1009.5,19.6,2,30,6,2023
81,2023-06-30 02:21:45.676,548,90.0,1009.6,19.6,2,30,6,2023
82,2023-06-30 02:31:45.646,550,90.0,1009.4,19.6,2,30,6,2023
83,2023-06-30 02:41:45.600,533,89.0,1009.5,19.6,2,30,6,2023
84,2023-06-30 02:51:45.589,549,88.0,1009.5,19.4,2,30,6,2023
85,2023-06-30 03:01:45.603,538,88.0,1009.4,19.4,3,30,6,2023
86,2023-06-30 03:11:45.527,563,88.5,1009.3,19.1,3,30,6,2023
87,2023-06-30 03:21:45.499,547,88.0,1009.3,18.8,3,30,6,2023
88,2023-06-30 03:31:47.179,564,89.0,1009.3,18.6,3,30,6,2023
89,2023-06-30 03:41:45.462,586,89.5,1009.3,18.4,3,30,6,2023
90,2023-06-30 03:51:45.447,620,90.5,1009.4,18.3,3,30,6,2023
91,2023-06-30 04:11:45.395,542,91.0,1009.4,18.4,4,30,6,2023
92,2023-06-30 04:21:45.338,542,90.0,1009.5,18.9,4,30,6,2023
93,2023-06-30 04:31:45.301,541,89.5,1009.3,19.3,4,30,6,2023
94,2023-06-30 04:41:45.257,525,89.0,1009.1,19.6,4,30,6,2023
95,2023-06-30 04:51:45.245,535,87.5,1009.0,20.0,4,30,6,2023
96,2023-06-30 05:01:45.186,525,86.5,1008.8,20.3,5,30,6,2023
97,2023-06-30 05:11:45.179,509,84.0,1008.8,21.2,5,30,6,2023
98,2023-06-30 05:21:45.107,524,80.5,1008.7,22.5,5,30,6,2023
99,2023-06-30 05:31:45.128,532,77.0,1008.4,23.5,5,30,6,2023
100,2023-06-30 05:41:45.090,521,74.0,1008.5,23.8,5,30,6,2023
101,2023-06-30 05:51:45.052,515,71.0,1008.4,24.7,5,30,6,2023
102,2023-06-30 06:01:46.743,510,68.0,1008.7,25.4,6,30,6,2023
103,2023-06-30 06:11:44.994,517,68.0,1008.7,25.4,6,30,6,2023
104,2023-06-30 06:21:44.979,491,61.5,1008.8,27.0,6,30,6,2023
105,2023-06-30 06:31:44.943,512,60.5,1008.9,27.5,6,30,6,2023
106,2023-06-30 06:41:44.904,493,65.0,1008.9,26.2,6,30,6,2023
107,2023-06-30 06:51:44.907,508,62.0,1008.6,26.7,6,30,6,2023
108,2023-06-30 07:01:44.849,481,61.0,1008.6,27.6,7,30,6,2023
109,2023-06-30 07:11:44.820,481,61.5,1008.6,26.8,7,30,6,2023
110,2023-06-30 07:21:44.794,503,63.0,1008.6,26.3,7,30,6,2023
111,2023-06-30 07:31:44.775,489,63.0,1008.3,25.9,7,30,6,2023
112,2023-06-30 07:41:44.732,470,62.5,1008.3,26.3,7,30,6,2023
113,2023-06-30 07:51:44.724,475,62.5,1008.2,26.1,7,30,6,2023
114,2023-06-30 08:01:44.665,483,60.5,1008.2,26.0,8,30,6,2023
115,2023-06-30 08:11:44.645,475,61.0,1008.0,26.1,8,30,6,2023
116,2023-06-30 08:21:44.625,485,62.5,1008.1,26.0,8,30,6,2023
117,2023-06-30 08:31:44.603,482,63.5,1008.1,25.4,8,30,6,2023
118,2023-06-30 08:41:44.575,490,65.5,1008.2,24.8,8,30,6,2023
119,2023-06-30 08:51:44.538,496,68.5,1008.5,24.3,8,30,6,2023
120,2023-06-30 09:01:44.497,494,69.5,1008.6,23.8,9,30,6,2023
121,2023-06-30 09:11:44.456,486,72.0,1008.8,23.4,9,30,6,2023
122,2023-06-30 09:21:44.458,491,75.0,1008.8,22.9,9,30,6,2023
123,2023-06-30 09:31:44.429,485,77.5,1008.9,22.7,9,30,6,2023
124,2023-06-30 09:41:44.383,475,75.5,1008.7,22.9,9,30,6,2023
125,2023-06-30 09:51:44.367,492,76.0,1008.6,23.0,9,30,6,2023
126,2023-06-30 10:01:44.318,495,72.0,1008.5,23.5,10,30,6,2023
127,2023-06-30 10:11:44.304,468,72.0,1008.6,23.7,10,30,6,2023
128,2023-06-30 10:21:44.289,488,73.5,1008.7,23.6,10,30,6,2023
129,2023-06-30 10:31:44.251,501,73.0,1008.7,23.5,10,30,6,2023
130,2023-06-30 10:41:44.211,496,73.0,1008.5,23.5,10,30,6,2023
131,2023-06-30 10:51:44.183,488,74.0,1008.4,23.6,10,30,6,2023
132,2023-06-30 11:01:44.153,495,74.5,1008.2,23.5,11,30,6,2023
133,2023-06-30 11:11:44.118,483,75.5,1008.1,23.6,11,30,6,2023
134,2023-06-30 11:21:44.092,485,76.0,1008.1,23.5,11,30,6,2023
135,2023-06-30 11:31:44.083,486,76.5,1008.2,23.4,11,30,6,2023
136,2023-06-30 11:41:44.030,482,76.0,1008.3,23.7,11,30,6,2023
137,2023-06-30 11:51:44.016,484,75.5,1008.4,23.8,11,30,6,2023
138,2023-06-30 12:01:43.967,477,76.5,1008.2,23.9,12,30,6,2023
139,2023-06-30 12:11:43.940,477,75.0,1008.3,23.5,12,30,6,2023
140,2023-06-30 12:21:43.929,466,76.5,1008.3,23.5,12,30,6,2023
141,2023-06-30 12:31:43.898,485,76.5,1008.2,23.0,12,30,6,2023
142,2023-06-30 12:41:43.851,452,78.5,1008.1,22.1,12,30,6,2023
143,2023-06-30 12:51:43.851,482,80.5,1008.1,21.6,12,30,6,2023
144,2023-06-30 13:01:43.796,472,82.0,1008.2,21.5,13,30,6,2023
145,2023-06-30 13:11:43.778,479,83.0,1008.2,21.0,13,30,6,2023
146,2023-06-30 13:21:43.792,482,85.0,1008.2,20.7,13,30,6,2023
147,2023-06-30 13:31:43.728,475,86.0,1008.2,20.6,13,30,6,2023
148,2023-06-30 13:41:43.682,473,88.0,1008.5,20.3,13,30,6,2023
149,2023-06-30 13:51:43.654,471,89.0,1008.3,19.8,13,30,6,2023
150,2023-06-30 14:01:43.625,482,90.5,1008.3,19.4,14,30,6,2023
151,2023-06-30 14:11:43.656,482,90.5,1008.2,19.4,14,30,6,2023
152,2023-06-30 14:21:43.575,475,91.5,1008.1,19.4,14,30,6,2023
153,2023-06-30 14:31:43.535,489,92.0,1008.1,19.5,14,30,6,2023
154,2023-06-30 14:41:43.505,491,92.0,1008.1,19.9,14,30,6,2023
155,2023-06-30 14:51:43.495,485,91.5,1008.0,20.3,14,30,6,2023
156,2023-06-30 15:01:43.463,490,90.5,1007.9,20.3,15,30,6,2023
157,2023-06-30 15:11:43.422,487,90.0,1008.0,20.3,15,30,6,2023
158,2023-06-30 15:21:43.398,484,90.5,1007.9,19.6,15,30,6,2023
159,2023-06-30 15:31:43.380,487,90.5,1007.9,19.3,15,30,6,2023
160,2023-06-30 15:41:43.332,483,90.5,1007.9,19.0,15,30,6,2023
161,2023-06-30 15:51:43.319,496,90.5,1007.7,19.0,15,30,6,2023
162,2023-06-30 16:01:43.329,477,90.0,1007.6,19.1,16,30,6,2023
163,2023-06-30 16:11:43.244,473,90.0,1007.7,19.0,16,30,6,2023
164,2023-06-30 16:21:43.234,493,91.0,1007.8,18.9,16,30,6,2023
165,2023-06-30 16:31:43.200,495,91.5,1007.6,19.2,16,30,6,2023
166,2023-06-30 16:41:43.151,497,90.5,1007.4,19.6,16,30,6,2023
167,2023-06-30 16:51:43.136,467,90.0,1007.4,19.9,16,30,6,2023
168,2023-06-30 17:01:43.100,490,90.0,1007.5,19.8,17,30,6,2023
169,2023-06-30 17:11:43.074,468,90.5,1007.4,19.6,17,30,6,2023
170,2023-06-30 17:21:43.056,506,91.0,1007.3,19.5,17,30,6,2023
171,2023-06-30 17:31:43.008,483,91.0,1007.2,19.3,17,30,6,2023
172,2023-06-30 17:41:42.999,492,91.0,1007.2,19.3,17,30,6,2023
