id,DateTime,Water_Sensor_name(Identifier),line_number,Water_volume_in_m3
32333,2023-06-29 14:39:33.754,TalkPool_OY1310_1,1,31
32342,2023-06-29 14:49:34.313,TalkPool_OY1310_1,1,31
32352,2023-06-29 14:59:34.108,TalkPool_OY1310_1,1,31
32362,2023-06-29 15:09:35.014,TalkPool_OY1310_1,1,31
32372,2023-06-29 15:19:34.832,TalkPool_OY1310_1,1,31
32383,2023-06-29 15:29:34.416,TalkPool_OY1310_1,1,31
32393,2023-06-29 15:39:34.361,TalkPool_OY1310_1,1,93
32404,2023-06-29 15:49:34.557,TalkPool_OY1310_1,1,130
32416,2023-06-29 15:59:34.633,TalkPool_OY1310_1,1,154
32426,2023-06-29 16:09:35.107,TalkPool_OY1310_1,1,154
32436,2023-06-29 16:19:35.097,TalkPool_OY1310_1,1,154
32445,2023-06-29 16:29:34.435,TalkPool_OY1310_1,1,154
32454,2023-06-29 16:39:34.616,TalkPool_OY1310_1,1,154
32463,2023-06-29 16:49:35.372,TalkPool_OY1310_1,1,154
32472,2023-06-29 16:59:36.366,TalkPool_OY1310_1,1,154
32481,2023-06-29 17:09:36.666,TalkPool_OY1310_1,1,154
32490,2023-06-29 17:19:36.892,TalkPool_OY1310_1,1,154
32499,2023-06-29 17:29:36.581,TalkPool_OY1310_1,1,154
32507,2023-06-29 17:39:36.310,TalkPool_OY1310_1,1,154
32516,2023-06-29 17:49:36.379,TalkPool_OY1310_1,1,154
32525,2023-06-29 17:59:36.710,TalkPool_OY1310_1,1,154
32533,2023-06-29 18:09:37.712,TalkPool_OY1310_1,1,154
32542,2023-06-29 18:19:37.188,TalkPool_OY1310_1,1,154
32551,2023-06-29 18:29:38.121,TalkPool_OY1310_1,1,154
32560,2023-06-29 18:39:38.089,TalkPool_OY1310_1,1,154
32570,2023-06-29 18:49:37.156,TalkPool_OY1310_1,1,154
32579,2023-06-29 18:59:37.242,TalkPool_OY1310_1,1,154
32588,2023-06-29 19:09:37.130,TalkPool_OY1310_1,1,154
32597,2023-06-29 19:19:37.089,TalkPool_OY1310_1,1,154
32606,2023-06-29 19:29:36.586,TalkPool_OY1310_1,1,154
32615,2023-06-29 19:39:37.395,TalkPool_OY1310_1,1,154
32624,2023-06-29 19:49:38.024,TalkPool_OY1310_1,1,154
32634,2023-06-29 19:59:38.408,TalkPool_OY1310_1,1,154
32643,2023-06-29 20:09:39.304,TalkPool_OY1310_1,1,154
32652,2023-06-29 20:19:39.908,TalkPool_OY1310_1,1,154
32661,2023-06-29 20:29:40.636,TalkPool_OY1310_1,1,154
32670,2023-06-29 20:39:41.667,TalkPool_OY1310_1,1,154
32679,2023-06-29 20:49:42.249,TalkPool_OY1310_1,1,154
32696,2023-06-29 21:09:42.292,TalkPool_OY1310_1,1,154
32705,2023-06-29 21:19:41.532,TalkPool_OY1310_1,1,154
32714,2023-06-29 21:29:41.003,TalkPool_OY1310_1,1,154
32723,2023-06-29 21:39:41.013,TalkPool_OY1310_1,1,154
32732,2023-06-29 21:49:42.035,TalkPool_OY1310_1,1,154
32741,2023-06-29 21:59:41.336,TalkPool_OY1310_1,1,154
32750,2023-06-29 22:09:41.393,TalkPool_OY1310_1,1,154
32759,2023-06-29 22:19:41.534,TalkPool_OY1310_1,1,154
32768,2023-06-29 22:29:41.037,TalkPool_OY1310_1,1,154
32777,2023-06-29 22:39:41.920,TalkPool_OY1310_1,1,154
32785,2023-06-29 22:49:42.945,TalkPool_OY1310_1,1,154
32794,2023-06-29 22:59:42.681,TalkPool_OY1310_1,1,154
32802,2023-06-29 23:09:42.387,TalkPool_OY1310_1,1,154
32811,2023-06-29 23:19:42.386,TalkPool_OY1310_1,1,154
32820,2023-06-29 23:29:42.177,TalkPool_OY1310_1,1,154
32829,2023-06-29 23:39:42.117,TalkPool_OY1310_1,1,154
32838,2023-06-29 23:49:42.816,TalkPool_OY1310_1,1,154
32847,2023-06-29 23:59:43.331,TalkPool_OY1310_1,1,154
32856,2023-06-30 00:09:43.956,TalkPool_OY1310_1,1,154
32865,2023-06-30 00:19:43.279,TalkPool_OY1310_1,1,154
32874,2023-06-30 00:29:43.750,TalkPool_OY1310_1,1,154
32883,2023-06-30 00:39:42.820,TalkPool_OY1310_1,1,154
32892,2023-06-30 00:49:42.953,TalkPool_OY1310_1,1,154
32901,2023-06-30 00:59:42.554,TalkPool_OY1310_1,1,154
32910,2023-06-30 01:09:42.031,TalkPool_OY1310_1,1,154
32919,2023-06-30 01:19:41.856,TalkPool_OY1310_1,1,154
32928,2023-06-30 01:29:42.880,TalkPool_OY1310_1,1,154
32937,2023-06-30 01:39:42.006,TalkPool_OY1310_1,1,154
32946,2023-06-30 01:49:42.000,TalkPool_OY1310_1,1,154
32955,2023-06-30 01:59:42.895,TalkPool_OY1310_1,1,154
32964,2023-06-30 02:09:42.619,TalkPool_OY1310_1,1,154
32973,2023-06-30 02:19:42.355,TalkPool_OY1310_1,1,154
32982,2023-06-30 02:29:42.943,TalkPool_OY1310_1,1,154
32991,2023-06-30 02:39:42.825,TalkPool_OY1310_1,1,154
33000,2023-06-30 02:49:43.790,TalkPool_OY1310_1,1,154
33010,2023-06-30 02:59:43.459,TalkPool_OY1310_1,1,154
33019,2023-06-30 03:09:42.618,TalkPool_OY1310_1,1,154
33028,2023-06-30 03:19:43.012,TalkPool_OY1310_1,1,154
33037,2023-06-30 03:29:42.073,TalkPool_OY1310_1,1,154
33045,2023-06-30 03:39:41.461,TalkPool_OY1310_1,1,154
33054,2023-06-30 03:49:41.537,TalkPool_OY1310_1,1,154
33063,2023-06-30 03:59:42.449,TalkPool_OY1310_1,1,154
33071,2023-06-30 04:09:43.427,TalkPool_OY1310_1,1,154
33080,2023-06-30 04:19:43.736,TalkPool_OY1310_1,1,154
33089,2023-06-30 04:29:44.711,TalkPool_OY1310_1,1,154
33098,2023-06-30 04:39:43.897,TalkPool_OY1310_1,1,154
33107,2023-06-30 04:49:44.263,TalkPool_OY1310_1,1,154
33116,2023-06-30 04:59:43.564,TalkPool_OY1310_1,1,154
33125,2023-06-30 05:09:42.858,TalkPool_OY1310_1,1,154
33134,2023-06-30 05:19:43.019,TalkPool_OY1310_1,1,154
33143,2023-06-30 05:29:43.529,TalkPool_OY1310_1,1,154
33152,2023-06-30 05:39:43.032,TalkPool_OY1310_1,1,154
33161,2023-06-30 05:49:43.281,TalkPool_OY1310_1,1,154
33170,2023-06-30 05:59:43.662,TalkPool_OY1310_1,1,154
33179,2023-06-30 06:09:43.209,TalkPool_OY1310_1,1,154
33188,2023-06-30 06:19:43.720,TalkPool_OY1310_1,1,154
33198,2023-06-30 06:29:44.664,TalkPool_OY1310_1,1,154
33207,2023-06-30 06:39:45.400,TalkPool_OY1310_1,1,154
33216,2023-06-30 06:49:44.655,TalkPool_OY1310_1,1,154
33226,2023-06-30 06:59:44.438,TalkPool_OY1310_1,1,154
33236,2023-06-30 07:09:43.776,TalkPool_OY1310_1,1,154
33246,2023-06-30 07:19:43.634,TalkPool_OY1310_1,1,154
33256,2023-06-30 07:29:43.891,TalkPool_OY1310_1,1,154
33266,2023-06-30 07:39:44.145,TalkPool_OY1310_1,1,154
33276,2023-06-30 07:49:44.967,TalkPool_OY1310_1,1,154
33286,2023-06-30 07:59:44.468,TalkPool_OY1310_1,1,154
33296,2023-06-30 08:09:44.211,TalkPool_OY1310_1,1,154
33306,2023-06-30 08:19:43.411,TalkPool_OY1310_1,1,154
33316,2023-06-30 08:29:43.365,TalkPool_OY1310_1,1,154
33326,2023-06-30 08:39:44.370,TalkPool_OY1310_1,1,154
33336,2023-06-30 08:49:45.006,TalkPool_OY1310_1,1,154
33346,2023-06-30 08:59:44.879,TalkPool_OY1310_1,1,154
33356,2023-06-30 09:09:44.134,TalkPool_OY1310_1,1,154
33366,2023-06-30 09:19:44.914,TalkPool_OY1310_1,1,154
33376,2023-06-30 09:29:45.012,TalkPool_OY1310_1,1,154
33386,2023-06-30 09:39:45.846,TalkPool_OY1310_1,1,154
33396,2023-06-30 09:49:45.750,TalkPool_OY1310_1,1,154
33406,2023-06-30 09:59:46.308,TalkPool_OY1310_1,1,154
33416,2023-06-30 10:09:47.033,TalkPool_OY1310_1,1,154
33425,2023-06-30 10:19:47.800,TalkPool_OY1310_1,1,154
33435,2023-06-30 10:29:47.089,TalkPool_OY1310_1,1,154
33445,2023-06-30 10:39:47.134,TalkPool_OY1310_1,1,154
33455,2023-06-30 10:49:47.526,TalkPool_OY1310_1,1,154
33465,2023-06-30 10:59:46.729,TalkPool_OY1310_1,1,154
33475,2023-06-30 11:09:46.694,TalkPool_OY1310_1,1,154
33485,2023-06-30 11:19:47.462,TalkPool_OY1310_1,1,154
33495,2023-06-30 11:29:46.604,TalkPool_OY1310_1,1,154
33505,2023-06-30 11:39:45.994,TalkPool_OY1310_1,1,154
33515,2023-06-30 11:49:46.330,TalkPool_OY1310_1,1,154
33525,2023-06-30 11:59:45.746,TalkPool_OY1310_1,1,154
33535,2023-06-30 12:09:45.736,TalkPool_OY1310_1,1,154
33545,2023-06-30 12:19:46.639,TalkPool_OY1310_1,1,154
33555,2023-06-30 12:29:45.684,TalkPool_OY1310_1,1,154
33565,2023-06-30 12:39:46.477,TalkPool_OY1310_1,1,154
33575,2023-06-30 12:49:46.838,TalkPool_OY1310_1,1,154
33585,2023-06-30 12:59:47.324,TalkPool_OY1310_1,1,154
33595,2023-06-30 13:09:46.568,TalkPool_OY1310_1,1,154
33606,2023-06-30 13:19:47.202,TalkPool_OY1310_1,1,154
33616,2023-06-30 13:29:47.184,TalkPool_OY1310_1,1,154
33626,2023-06-30 13:39:46.824,TalkPool_OY1310_1,1,154
33636,2023-06-30 13:49:46.788,TalkPool_OY1310_1,1,154
33646,2023-06-30 13:59:46.695,TalkPool_OY1310_1,1,154
33656,2023-06-30 14:09:46.241,TalkPool_OY1310_1,1,154
33666,2023-06-30 14:19:45.540,TalkPool_OY1310_1,1,154
33677,2023-06-30 14:29:44.813,TalkPool_OY1310_1,1,154
33687,2023-06-30 14:39:45.841,TalkPool_OY1310_1,1,154
33697,2023-06-30 14:49:46.019,TalkPool_OY1310_1,1,154
33707,2023-06-30 14:59:45.067,TalkPool_OY1310_1,1,154
33716,2023-06-30 15:09:45.252,TalkPool_OY1310_1,1,154
33726,2023-06-30 15:19:44.376,TalkPool_OY1310_1,1,154
33736,2023-06-30 15:29:44.275,TalkPool_OY1310_1,1,154
33745,2023-06-30 15:39:43.670,TalkPool_OY1310_1,1,154
33755,2023-06-30 15:49:44.630,TalkPool_OY1310_1,1,154
33764,2023-06-30 15:59:44.489,TalkPool_OY1310_1,1,154
33774,2023-06-30 16:09:45.278,TalkPool_OY1310_1,1,154
33784,2023-06-30 16:19:44.515,TalkPool_OY1310_1,1,154
33794,2023-06-30 16:29:45.414,TalkPool_OY1310_1,1,154
33803,2023-06-30 16:39:46.267,TalkPool_OY1310_1,1,154
33813,2023-06-30 16:49:46.666,TalkPool_OY1310_1,1,154
33823,2023-06-30 16:59:47.104,TalkPool_OY1310_1,1,154
33833,2023-06-30 17:09:47.735,TalkPool_OY1310_1,1,154
33843,2023-06-30 17:19:47.519,TalkPool_OY1310_1,1,154
33853,2023-06-30 17:29:48.366,TalkPool_OY1310_1,1,154
33863,2023-06-30 17:39:48.869,TalkPool_OY1310_1,1,154
33873,2023-06-30 17:49:49.070,TalkPool_OY1310_1,1,154
33883,2023-06-30 17:59:48.794,TalkPool_OY1310_1,1,154
33893,2023-06-30 18:09:48.923,TalkPool_OY1310_1,1,154
33903,2023-06-30 18:19:48.290,TalkPool_OY1310_1,1,154
33913,2023-06-30 18:29:47.368,TalkPool_OY1310_1,1,154
33924,2023-06-30 18:39:47.260,TalkPool_OY1310_1,1,154
33934,2023-06-30 18:49:47.295,TalkPool_OY1310_1,1,154
33944,2023-06-30 18:59:47.867,TalkPool_OY1310_1,1,154
33954,2023-06-30 19:09:48.833,TalkPool_OY1310_1,1,154
33964,2023-06-30 19:19:48.995,TalkPool_OY1310_1,1,154
33974,2023-06-30 19:29:49.259,TalkPool_OY1310_1,1,154
33984,2023-06-30 19:39:50.105,TalkPool_OY1310_1,1,154
33994,2023-06-30 19:49:50.587,TalkPool_OY1310_1,1,154
34004,2023-06-30 19:59:51.117,TalkPool_OY1310_1,1,154
34014,2023-06-30 20:09:51.353,TalkPool_OY1310_1,1,154
34024,2023-06-30 20:19:52.148,TalkPool_OY1310_1,1,154
34034,2023-06-30 20:29:52.392,TalkPool_OY1310_1,1,154
34044,2023-06-30 20:39:52.436,TalkPool_OY1310_1,1,154
34054,2023-06-30 20:49:52.786,TalkPool_OY1310_1,1,154
34064,2023-06-30 20:59:53.167,TalkPool_OY1310_1,1,154
34074,2023-06-30 21:09:53.608,TalkPool_OY1310_1,1,154
34084,2023-06-30 21:19:54.322,TalkPool_OY1310_1,1,154
34094,2023-06-30 21:29:54.855,TalkPool_OY1310_1,1,154
34104,2023-06-30 21:39:54.576,TalkPool_OY1310_1,1,154
34114,2023-06-30 21:49:54.282,TalkPool_OY1310_1,1,154
34124,2023-06-30 21:59:54.321,TalkPool_OY1310_1,1,154
34134,2023-06-30 22:09:55.029,TalkPool_OY1310_1,1,154
34144,2023-06-30 22:19:54.147,TalkPool_OY1310_1,1,154
34154,2023-06-30 22:29:53.675,TalkPool_OY1310_1,1,154
34164,2023-06-30 22:39:53.351,TalkPool_OY1310_1,1,154
34174,2023-06-30 22:49:53.566,TalkPool_OY1310_1,1,154
34184,2023-06-30 22:59:54.488,TalkPool_OY1310_1,1,154
34194,2023-06-30 23:09:54.719,TalkPool_OY1310_1,1,154
34204,2023-06-30 23:19:53.852,TalkPool_OY1310_1,1,154
34214,2023-06-30 23:29:54.431,TalkPool_OY1310_1,1,154
34224,2023-06-30 23:39:55.000,TalkPool_OY1310_1,1,154
34234,2023-06-30 23:49:55.722,TalkPool_OY1310_1,1,154
34244,2023-06-30 23:59:55.989,TalkPool_OY1310_1,1,154
34254,2023-07-01 00:09:56.531,TalkPool_OY1310_1,1,154
34264,2023-07-01 00:19:57.565,TalkPool_OY1310_1,1,154
34274,2023-07-01 00:29:57.058,TalkPool_OY1310_1,1,154
34284,2023-07-01 00:39:56.492,TalkPool_OY1310_1,1,154
34294,2023-07-01 00:49:56.942,TalkPool_OY1310_1,1,154
34304,2023-07-01 00:59:56.695,TalkPool_OY1310_1,1,154
34314,2023-07-01 01:09:56.680,TalkPool_OY1310_1,1,154
34324,2023-07-01 01:19:56.083,TalkPool_OY1310_1,1,154
34334,2023-07-01 01:29:55.705,TalkPool_OY1310_1,1,154
34344,2023-07-01 01:39:55.480,TalkPool_OY1310_1,1,154
34354,2023-07-01 01:49:54.860,TalkPool_OY1310_1,1,154
34364,2023-07-01 01:59:55.141,TalkPool_OY1310_1,1,154
34374,2023-07-01 02:09:54.258,TalkPool_OY1310_1,1,154
34384,2023-07-01 02:19:53.511,TalkPool_OY1310_1,1,154
34393,2023-07-01 02:29:53.946,TalkPool_OY1310_1,1,154
34403,2023-07-01 02:39:53.820,TalkPool_OY1310_1,1,154
34413,2023-07-01 02:49:53.249,TalkPool_OY1310_1,1,154
34423,2023-07-01 02:59:52.752,TalkPool_OY1310_1,1,154
34433,2023-07-01 03:09:53.591,TalkPool_OY1310_1,1,154
34451,2023-07-01 03:29:53.593,TalkPool_OY1310_1,1,154
34461,2023-07-01 03:39:52.750,TalkPool_OY1310_1,1,154
34471,2023-07-01 03:49:52.308,TalkPool_OY1310_1,1,154
34481,2023-07-01 03:59:51.782,TalkPool_OY1310_1,1,154
34491,2023-07-01 04:09:51.091,TalkPool_OY1310_1,1,154
34501,2023-07-01 04:19:51.248,TalkPool_OY1310_1,1,154
34511,2023-07-01 04:29:51.881,TalkPool_OY1310_1,1,154
34521,2023-07-01 04:39:51.759,TalkPool_OY1310_1,1,154
34531,2023-07-01 04:49:52.767,TalkPool_OY1310_1,1,154
34541,2023-07-01 04:59:52.206,TalkPool_OY1310_1,1,154
34551,2023-07-01 05:09:51.584,TalkPool_OY1310_1,1,154
34561,2023-07-01 05:19:52.425,TalkPool_OY1310_1,1,154
34571,2023-07-01 05:29:53.124,TalkPool_OY1310_1,1,154
34580,2023-07-01 05:39:52.391,TalkPool_OY1310_1,1,154
34590,2023-07-01 05:49:52.171,TalkPool_OY1310_1,1,154
34599,2023-07-01 05:59:52.988,TalkPool_OY1310_1,1,154
34609,2023-07-01 06:09:53.982,TalkPool_OY1310_1,1,154
34619,2023-07-01 06:19:53.605,TalkPool_OY1310_1,1,154
34628,2023-07-01 06:29:53.738,TalkPool_OY1310_1,1,154
34638,2023-07-01 06:39:54.731,TalkPool_OY1310_1,1,154
34648,2023-07-01 06:49:54.079,TalkPool_OY1310_1,1,154
34658,2023-07-01 06:59:54.352,TalkPool_OY1310_1,1,154
34668,2023-07-01 07:09:55.268,TalkPool_OY1310_1,1,154
34678,2023-07-01 07:19:55.815,TalkPool_OY1310_1,1,154
34688,2023-07-01 07:29:55.605,TalkPool_OY1310_1,1,154
34698,2023-07-01 07:39:55.884,TalkPool_OY1310_1,1,154
34707,2023-07-01 07:49:54.956,TalkPool_OY1310_1,1,154
34717,2023-07-01 07:59:54.327,TalkPool_OY1310_1,1,154
34727,2023-07-01 08:09:54.187,TalkPool_OY1310_1,1,154
